starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 14 22:08:27 2026	1781492907	254	136	390	135
Sun Jun 14 22:08:27 2026	1781492907	253	138	391	135
Sun Jun 14 22:08:31 2026	1781492911	235	166	402	165
Sun Jun 14 22:08:27 2026	1781492907	263	142	405	129
Sun Jun 14 22:08:27 2026	1781492907	269	137	405	136
Sun Jun 14 22:08:29 2026	1781492909	253	154	407	148
Sun Jun 14 22:08:29 2026	1781492909	236	172	407	171
Sun Jun 14 22:08:39 2026	1781492919	233	175	408	153
Sun Jun 14 22:08:29 2026	1781492909	241	172	413	161
Sun Jun 14 22:08:35 2026	1781492915	247	171	418	158
Sun Jun 14 22:08:31 2026	1781492911	247	172	419	163
Sun Jun 14 22:08:39 2026	1781492919	221	201	422	192
Sun Jun 14 22:08:27 2026	1781492907	293	130	424	122
Sun Jun 14 22:08:46 2026	1781492926	270	154	424	154
Sun Jun 14 22:08:47 2026	1781492927	235	189	425	189
Sun Jun 14 22:08:31 2026	1781492911	228	199	427	189
Sun Jun 14 22:08:46 2026	1781492926	253	174	427	174
Sun Jun 14 22:08:47 2026	1781492927	251	178	429	156
Sun Jun 14 22:08:29 2026	1781492909	249	181	431	171
Sun Jun 14 22:08:32 2026	1781492912	276	156	432	156
Sun Jun 14 22:08:43 2026	1781492923	269	163	432	149
Sun Jun 14 22:08:41 2026	1781492921	252	181	433	181
Sun Jun 14 22:08:37 2026	1781492917	300	137	436	128
Sun Jun 14 22:08:39 2026	1781492919	241	197	438	139
Sun Jun 14 22:08:47 2026	1781492927	252	188	440	182
Sun Jun 14 22:08:29 2026	1781492909	255	187	442	167
Sun Jun 14 22:08:29 2026	1781492909	254	188	442	180
Sun Jun 14 22:08:46 2026	1781492926	247	196	442	166
Sun Jun 14 22:08:46 2026	1781492926	246	196	443	196
Sun Jun 14 22:08:32 2026	1781492912	249	195	444	194
Sun Jun 14 22:08:47 2026	1781492927	291	155	446	150
Sun Jun 14 22:08:46 2026	1781492926	286	162	448	159
Sun Jun 14 22:08:32 2026	1781492912	228	221	449	207
Sun Jun 14 22:08:41 2026	1781492921	264	184	449	184
Sun Jun 14 22:08:47 2026	1781492927	243	207	450	193
Sun Jun 14 22:08:32 2026	1781492912	293	158	451	158
Sun Jun 14 22:08:39 2026	1781492919	228	229	457	229
Sun Jun 14 22:08:32 2026	1781492912	235	225	460	196
Sun Jun 14 22:08:47 2026	1781492927	226	234	460	224
Sun Jun 14 22:08:42 2026	1781492922	322	141	462	140
Sun Jun 14 22:08:38 2026	1781492918	282	180	462	144
Sun Jun 14 22:08:31 2026	1781492911	251	212	463	212
Sun Jun 14 22:08:47 2026	1781492927	272	193	465	168
Sun Jun 14 22:08:35 2026	1781492915	269	196	465	166
Sun Jun 14 22:08:29 2026	1781492909	310	155	465	151
Sun Jun 14 22:08:29 2026	1781492909	290	176	466	163
Sun Jun 14 22:08:45 2026	1781492925	254	213	467	192
Sun Jun 14 22:08:33 2026	1781492913	248	219	467	212
Sun Jun 14 22:08:27 2026	1781492907	274	193	468	160
Sun Jun 14 22:08:31 2026	1781492911	239	229	468	224
Sun Jun 14 22:08:32 2026	1781492912	248	222	470	190
Sun Jun 14 22:08:37 2026	1781492917	302	168	470	152
Sun Jun 14 22:08:37 2026	1781492917	313	157	470	146
Sun Jun 14 22:08:28 2026	1781492908	284	193	476	192
Sun Jun 14 22:08:47 2026	1781492927	290	187	477	174
Sun Jun 14 22:08:28 2026	1781492908	280	200	480	182
Sun Jun 14 22:08:32 2026	1781492912	281	200	481	199
Sun Jun 14 22:08:33 2026	1781492913	286	197	484	155
Sun Jun 14 22:08:28 2026	1781492908	322	162	484	162
Sun Jun 14 22:08:32 2026	1781492912	289	195	484	188
Sun Jun 14 22:08:46 2026	1781492926	254	231	485	178
Sun Jun 14 22:08:46 2026	1781492926	254	231	486	190
Sun Jun 14 22:08:41 2026	1781492921	275	212	487	212
Sun Jun 14 22:08:27 2026	1781492907	280	207	487	148
Sun Jun 14 22:08:27 2026	1781492907	285	203	488	194
Sun Jun 14 22:08:27 2026	1781492907	259	230	488	180
Sun Jun 14 22:08:29 2026	1781492909	278	212	490	169
Sun Jun 14 22:08:43 2026	1781492923	245	245	491	215
Sun Jun 14 22:08:28 2026	1781492908	358	133	491	131
Sun Jun 14 22:08:30 2026	1781492910	298	193	491	193
Sun Jun 14 22:08:41 2026	1781492921	301	190	491	181
Sun Jun 14 22:08:27 2026	1781492907	280	212	492	212
Sun Jun 14 22:08:34 2026	1781492914	290	203	493	203
Sun Jun 14 22:08:39 2026	1781492919	282	211	493	211
Sun Jun 14 22:08:28 2026	1781492908	286	207	493	195
Sun Jun 14 22:08:30 2026	1781492910	294	202	497	192
Sun Jun 14 22:08:27 2026	1781492907	307	191	498	185
Sun Jun 14 22:08:43 2026	1781492923	336	163	499	143
Sun Jun 14 22:08:42 2026	1781492922	362	137	500	125
Sun Jun 14 22:08:32 2026	1781492912	290	209	500	195
Sun Jun 14 22:08:33 2026	1781492913	323	178	501	156
Sun Jun 14 22:08:42 2026	1781492922	375	129	504	118
Sun Jun 14 22:08:29 2026	1781492909	325	182	507	176
Sun Jun 14 22:08:34 2026	1781492914	226	282	509	238
Sun Jun 14 22:08:31 2026	1781492911	263	246	509	164
Sun Jun 14 22:08:48 2026	1781492928	265	244	509	244
Sun Jun 14 22:08:35 2026	1781492915	353	158	510	139
Sun Jun 14 22:08:27 2026	1781492907	318	194	512	185
Sun Jun 14 22:08:38 2026	1781492918	285	226	512	219
