starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 14 22:08:05 2026	1781492885	195	117	312	111
Sun Jun 14 22:08:12 2026	1781492892	196	117	313	113
Sun Jun 14 22:08:03 2026	1781492883	200	116	316	116
Sun Jun 14 22:08:03 2026	1781492883	201	116	317	116
Sun Jun 14 22:08:09 2026	1781492889	200	117	317	116
Sun Jun 14 22:08:10 2026	1781492890	200	118	318	112
Sun Jun 14 22:08:02 2026	1781492882	207	113	320	110
Sun Jun 14 22:08:21 2026	1781492901	200	121	322	117
Sun Jun 14 22:08:09 2026	1781492889	207	115	322	115
Sun Jun 14 22:08:10 2026	1781492890	201	121	322	119
Sun Jun 14 22:08:25 2026	1781492905	204	118	322	117
Sun Jun 14 22:08:05 2026	1781492885	194	129	323	125
Sun Jun 14 22:08:21 2026	1781492901	200	123	323	120
Sun Jun 14 22:08:12 2026	1781492892	207	116	323	116
Sun Jun 14 22:08:02 2026	1781492882	202	122	323	118
Sun Jun 14 22:07:59 2026	1781492879	204	119	323	115
Sun Jun 14 22:08:19 2026	1781492899	204	119	324	119
Sun Jun 14 22:08:07 2026	1781492887	205	119	324	119
Sun Jun 14 22:08:00 2026	1781492880	205	119	324	119
Sun Jun 14 22:08:10 2026	1781492890	205	119	325	117
Sun Jun 14 22:08:10 2026	1781492890	204	121	325	119
Sun Jun 14 22:08:05 2026	1781492885	204	121	325	117
Sun Jun 14 22:08:02 2026	1781492882	201	124	325	113
Sun Jun 14 22:07:58 2026	1781492878	202	123	325	123
Sun Jun 14 22:08:14 2026	1781492894	205	120	325	120
Sun Jun 14 22:08:09 2026	1781492889	205	120	325	120
Sun Jun 14 22:08:24 2026	1781492904	203	123	325	120
Sun Jun 14 22:08:23 2026	1781492903	196	130	326	120
Sun Jun 14 22:08:25 2026	1781492905	207	120	326	120
Sun Jun 14 22:08:13 2026	1781492893	204	122	326	118
Sun Jun 14 22:08:18 2026	1781492898	198	128	326	113
Sun Jun 14 22:08:03 2026	1781492883	206	121	326	116
Sun Jun 14 22:08:17 2026	1781492897	209	118	326	118
Sun Jun 14 22:08:14 2026	1781492894	205	121	327	121
Sun Jun 14 22:08:05 2026	1781492885	205	122	327	118
Sun Jun 14 22:08:21 2026	1781492901	208	119	327	119
Sun Jun 14 22:08:14 2026	1781492894	207	121	327	120
Sun Jun 14 22:08:22 2026	1781492902	204	124	328	119
Sun Jun 14 22:07:57 2026	1781492877	209	118	328	114
Sun Jun 14 22:07:58 2026	1781492878	198	129	328	128
Sun Jun 14 22:08:18 2026	1781492898	201	127	328	124
Sun Jun 14 22:08:14 2026	1781492894	210	118	328	114
Sun Jun 14 22:08:17 2026	1781492897	208	121	328	116
Sun Jun 14 22:08:01 2026	1781492881	199	129	328	127
Sun Jun 14 22:08:00 2026	1781492880	210	118	328	116
Sun Jun 14 22:08:21 2026	1781492901	206	123	328	121
Sun Jun 14 22:07:58 2026	1781492878	202	126	328	120
Sun Jun 14 22:08:00 2026	1781492880	203	126	329	122
Sun Jun 14 22:08:05 2026	1781492885	203	126	329	122
Sun Jun 14 22:08:19 2026	1781492899	205	124	329	117
Sun Jun 14 22:08:19 2026	1781492899	206	123	329	123
Sun Jun 14 22:08:18 2026	1781492898	207	123	330	123
Sun Jun 14 22:08:01 2026	1781492881	204	126	330	112
Sun Jun 14 22:08:23 2026	1781492903	205	126	331	124
Sun Jun 14 22:08:21 2026	1781492901	206	125	331	119
Sun Jun 14 22:08:20 2026	1781492900	201	130	331	123
Sun Jun 14 22:08:25 2026	1781492905	207	124	331	118
Sun Jun 14 22:08:04 2026	1781492884	208	123	331	122
Sun Jun 14 22:08:18 2026	1781492898	203	128	331	125
Sun Jun 14 22:08:10 2026	1781492890	200	131	331	112
Sun Jun 14 22:08:13 2026	1781492893	206	126	332	120
Sun Jun 14 22:08:18 2026	1781492898	208	124	332	120
Sun Jun 14 22:08:18 2026	1781492898	209	123	332	120
Sun Jun 14 22:08:01 2026	1781492881	203	128	332	119
Sun Jun 14 22:08:09 2026	1781492889	209	123	332	114
Sun Jun 14 22:08:09 2026	1781492889	212	120	332	120
Sun Jun 14 22:08:18 2026	1781492898	210	122	332	121
Sun Jun 14 22:08:06 2026	1781492886	204	129	333	125
Sun Jun 14 22:08:04 2026	1781492884	200	133	333	126
Sun Jun 14 22:08:06 2026	1781492886	206	127	333	118
Sun Jun 14 22:08:17 2026	1781492897	205	128	333	126
Sun Jun 14 22:07:57 2026	1781492877	211	122	333	122
Sun Jun 14 22:08:03 2026	1781492883	207	126	333	119
Sun Jun 14 22:08:02 2026	1781492882	213	120	334	120
Sun Jun 14 22:08:19 2026	1781492899	210	123	334	118
Sun Jun 14 22:08:13 2026	1781492893	214	120	334	116
Sun Jun 14 22:08:21 2026	1781492901	212	122	334	122
Sun Jun 14 22:08:15 2026	1781492895	207	128	334	120
Sun Jun 14 22:08:08 2026	1781492888	208	126	334	122
Sun Jun 14 22:08:13 2026	1781492893	210	124	335	115
Sun Jun 14 22:07:58 2026	1781492878	209	126	335	123
Sun Jun 14 22:08:14 2026	1781492894	208	126	335	115
Sun Jun 14 22:08:02 2026	1781492882	210	125	335	123
Sun Jun 14 22:08:10 2026	1781492890	198	137	335	120
Sun Jun 14 22:08:07 2026	1781492887	209	126	335	122
Sun Jun 14 22:08:04 2026	1781492884	218	117	335	117
Sun Jun 14 22:08:14 2026	1781492894	213	122	335	121
Sun Jun 14 22:08:23 2026	1781492903	206	130	336	130
Sun Jun 14 22:08:05 2026	1781492885	195	140	336	137
Sun Jun 14 22:08:19 2026	1781492899	209	127	336	125
Sun Jun 14 22:08:19 2026	1781492899	210	126	336	120
Sun Jun 14 22:08:05 2026	1781492885	215	121	336	117
Sun Jun 14 22:08:00 2026	1781492880	204	132	336	119
Sun Jun 14 22:08:05 2026	1781492885	207	129	337	127
Sun Jun 14 22:08:04 2026	1781492884	213	123	337	123
Sun Jun 14 22:08:12 2026	1781492892	212	125	337	119
Sun Jun 14 22:08:13 2026	1781492893	216	121	337	119
Sun Jun 14 22:08:02 2026	1781492882	215	122	337	122
Sun Jun 14 22:08:08 2026	1781492888	204	133	337	133
Sun Jun 14 22:08:10 2026	1781492890	216	121	337	115
Sun Jun 14 22:08:19 2026	1781492899	207	130	338	126
Sun Jun 14 22:08:05 2026	1781492885	206	132	338	128
Sun Jun 14 22:08:22 2026	1781492902	210	127	338	127
Sun Jun 14 22:08:20 2026	1781492900	221	117	338	115
Sun Jun 14 22:08:03 2026	1781492883	209	129	338	123
Sun Jun 14 22:08:14 2026	1781492894	209	129	338	119
Sun Jun 14 22:08:06 2026	1781492886	210	128	338	124
Sun Jun 14 22:08:01 2026	1781492881	213	125	338	125
Sun Jun 14 22:08:24 2026	1781492904	217	121	338	117
Sun Jun 14 22:08:17 2026	1781492897	210	128	338	128
Sun Jun 14 22:08:00 2026	1781492880	193	145	338	145
Sun Jun 14 22:08:04 2026	1781492884	196	142	338	136
Sun Jun 14 22:08:14 2026	1781492894	216	123	339	121
Sun Jun 14 22:08:21 2026	1781492901	209	130	339	120
Sun Jun 14 22:08:16 2026	1781492896	215	125	340	119
Sun Jun 14 22:08:21 2026	1781492901	214	125	340	125
Sun Jun 14 22:08:04 2026	1781492884	200	140	340	126
Sun Jun 14 22:08:01 2026	1781492881	212	127	340	121
Sun Jun 14 22:07:58 2026	1781492878	211	129	340	124
Sun Jun 14 22:08:02 2026	1781492882	215	125	340	118
Sun Jun 14 22:07:58 2026	1781492878	211	129	340	128
Sun Jun 14 22:08:00 2026	1781492880	215	125	340	124
Sun Jun 14 22:07:59 2026	1781492879	211	130	341	126
Sun Jun 14 22:07:58 2026	1781492878	214	127	341	120
Sun Jun 14 22:08:17 2026	1781492897	216	125	341	118
Sun Jun 14 22:08:10 2026	1781492890	219	122	341	115
Sun Jun 14 22:08:21 2026	1781492901	202	139	341	132
Sun Jun 14 22:08:07 2026	1781492887	207	134	341	124
Sun Jun 14 22:08:05 2026	1781492885	211	131	341	124
Sun Jun 14 22:08:24 2026	1781492904	208	134	342	131
Sun Jun 14 22:08:20 2026	1781492900	209	132	342	122
Sun Jun 14 22:08:02 2026	1781492882	206	135	342	133
Sun Jun 14 22:08:14 2026	1781492894	216	126	342	118
Sun Jun 14 22:08:21 2026	1781492901	209	133	342	128
Sun Jun 14 22:08:13 2026	1781492893	207	135	342	133
Sun Jun 14 22:08:21 2026	1781492901	215	127	342	122
Sun Jun 14 22:08:03 2026	1781492883	216	126	342	126
Sun Jun 14 22:07:58 2026	1781492878	212	130	342	125
Sun Jun 14 22:08:01 2026	1781492881	208	134	342	114
Sun Jun 14 22:08:09 2026	1781492889	212	131	343	127
Sun Jun 14 22:07:58 2026	1781492878	218	125	343	120
Sun Jun 14 22:08:25 2026	1781492905	202	141	343	130
Sun Jun 14 22:08:05 2026	1781492885	196	147	343	146
Sun Jun 14 22:08:06 2026	1781492886	219	124	343	118
Sun Jun 14 22:08:12 2026	1781492892	205	138	343	138
Sun Jun 14 22:08:02 2026	1781492882	215	128	343	126
Sun Jun 14 22:08:07 2026	1781492887	204	139	343	124
Sun Jun 14 22:08:00 2026	1781492880	215	129	343	124
Sun Jun 14 22:08:05 2026	1781492885	208	135	343	134
Sun Jun 14 22:08:24 2026	1781492904	216	127	343	127
Sun Jun 14 22:08:23 2026	1781492903	221	123	344	115
Sun Jun 14 22:07:59 2026	1781492879	212	132	344	130
Sun Jun 14 22:08:11 2026	1781492891	220	124	344	114
Sun Jun 14 22:08:22 2026	1781492902	204	140	344	117
Sun Jun 14 22:08:24 2026	1781492904	222	122	344	116
Sun Jun 14 22:08:19 2026	1781492899	201	144	344	130
Sun Jun 14 22:08:17 2026	1781492897	214	131	344	123
Sun Jun 14 22:08:03 2026	1781492883	208	136	344	131
Sun Jun 14 22:08:18 2026	1781492898	216	129	345	128
Sun Jun 14 22:08:14 2026	1781492894	215	130	345	119
Sun Jun 14 22:08:25 2026	1781492905	210	134	345	132
Sun Jun 14 22:08:02 2026	1781492882	214	131	345	128
Sun Jun 14 22:08:17 2026	1781492897	206	139	345	136
Sun Jun 14 22:08:20 2026	1781492900	213	133	345	130
Sun Jun 14 22:08:00 2026	1781492880	208	137	345	132
Sun Jun 14 22:08:23 2026	1781492903	199	146	346	145
Sun Jun 14 22:08:06 2026	1781492886	206	139	346	125
Sun Jun 14 22:08:04 2026	1781492884	212	134	346	134
Sun Jun 14 22:08:03 2026	1781492883	220	126	346	123
Sun Jun 14 22:08:02 2026	1781492882	220	126	346	122
Sun Jun 14 22:08:25 2026	1781492905	223	123	346	117
Sun Jun 14 22:08:25 2026	1781492905	213	133	346	129
Sun Jun 14 22:08:10 2026	1781492890	219	127	346	122
Sun Jun 14 22:08:00 2026	1781492880	216	130	346	126
Sun Jun 14 22:08:25 2026	1781492905	219	127	346	122
Sun Jun 14 22:08:01 2026	1781492881	213	133	346	133
Sun Jun 14 22:08:00 2026	1781492880	211	135	347	119
Sun Jun 14 22:08:20 2026	1781492900	222	125	347	121
Sun Jun 14 22:08:01 2026	1781492881	217	130	347	119
Sun Jun 14 22:07:58 2026	1781492878	213	133	347	122
Sun Jun 14 22:08:00 2026	1781492880	206	141	347	130
Sun Jun 14 22:08:02 2026	1781492882	222	125	347	118
Sun Jun 14 22:08:11 2026	1781492891	204	142	347	140
Sun Jun 14 22:08:14 2026	1781492894	220	127	347	127
Sun Jun 14 22:08:25 2026	1781492905	230	118	347	118
Sun Jun 14 22:08:23 2026	1781492903	220	127	347	120
Sun Jun 14 22:08:10 2026	1781492890	208	139	347	139
Sun Jun 14 22:08:02 2026	1781492882	220	128	347	115
Sun Jun 14 22:08:21 2026	1781492901	210	137	347	133
Sun Jun 14 22:07:58 2026	1781492878	218	130	348	119
Sun Jun 14 22:08:03 2026	1781492883	215	133	348	124
Sun Jun 14 22:08:19 2026	1781492899	207	141	348	125
Sun Jun 14 22:08:24 2026	1781492904	223	125	348	120
Sun Jun 14 22:08:24 2026	1781492904	204	145	348	125
Sun Jun 14 22:08:06 2026	1781492886	205	143	349	130
Sun Jun 14 22:08:06 2026	1781492886	210	139	349	139
Sun Jun 14 22:08:22 2026	1781492902	226	123	349	117
Sun Jun 14 22:08:05 2026	1781492885	230	119	349	114
Sun Jun 14 22:08:07 2026	1781492887	202	147	349	146
Sun Jun 14 22:08:17 2026	1781492897	216	133	349	121
Sun Jun 14 22:08:02 2026	1781492882	212	137	349	123
Sun Jun 14 22:08:03 2026	1781492883	223	127	349	120
Sun Jun 14 22:08:05 2026	1781492885	225	125	349	115
Sun Jun 14 22:08:09 2026	1781492889	214	135	349	125
Sun Jun 14 22:08:10 2026	1781492890	201	149	350	146
Sun Jun 14 22:08:00 2026	1781492880	235	115	350	115
Sun Jun 14 22:08:09 2026	1781492889	214	136	350	136
Sun Jun 14 22:08:13 2026	1781492893	222	128	350	126
Sun Jun 14 22:08:05 2026	1781492885	210	140	350	124
Sun Jun 14 22:08:25 2026	1781492905	216	135	351	121
Sun Jun 14 22:08:23 2026	1781492903	206	145	351	145
Sun Jun 14 22:08:10 2026	1781492890	212	139	351	126
Sun Jun 14 22:08:05 2026	1781492885	212	138	351	130
Sun Jun 14 22:08:03 2026	1781492883	215	136	351	118
Sun Jun 14 22:08:10 2026	1781492890	217	134	351	129
Sun Jun 14 22:08:06 2026	1781492886	228	123	351	120
Sun Jun 14 22:08:25 2026	1781492905	217	135	351	121
Sun Jun 14 22:08:24 2026	1781492904	217	135	352	122
Sun Jun 14 22:08:20 2026	1781492900	223	129	352	125
Sun Jun 14 22:08:14 2026	1781492894	205	147	352	144
Sun Jun 14 22:08:16 2026	1781492896	224	128	352	122
Sun Jun 14 22:07:59 2026	1781492879	224	129	353	126
Sun Jun 14 22:08:18 2026	1781492898	219	134	353	128
Sun Jun 14 22:08:20 2026	1781492900	213	139	353	139
Sun Jun 14 22:07:58 2026	1781492878	210	143	353	143
Sun Jun 14 22:08:05 2026	1781492885	223	130	353	123
Sun Jun 14 22:08:19 2026	1781492899	221	132	353	125
Sun Jun 14 22:08:18 2026	1781492898	210	143	353	133
Sun Jun 14 22:08:00 2026	1781492880	222	131	353	127
Sun Jun 14 22:08:10 2026	1781492890	204	149	353	137
Sun Jun 14 22:07:58 2026	1781492878	220	133	353	133
Sun Jun 14 22:08:06 2026	1781492886	194	159	353	159
Sun Jun 14 22:07:58 2026	1781492878	221	133	353	132
Sun Jun 14 22:08:25 2026	1781492905	234	119	353	117
Sun Jun 14 22:08:04 2026	1781492884	219	134	353	129
Sun Jun 14 22:08:06 2026	1781492886	211	143	354	121
Sun Jun 14 22:08:17 2026	1781492897	206	148	354	145
Sun Jun 14 22:08:13 2026	1781492893	236	118	354	113
Sun Jun 14 22:08:03 2026	1781492883	212	142	354	137
Sun Jun 14 22:08:14 2026	1781492894	233	121	354	116
Sun Jun 14 22:08:02 2026	1781492882	224	130	354	122
Sun Jun 14 22:08:02 2026	1781492882	202	153	355	151
Sun Jun 14 22:08:15 2026	1781492895	219	136	355	136
Sun Jun 14 22:08:18 2026	1781492898	199	156	355	152
Sun Jun 14 22:08:09 2026	1781492889	221	134	355	123
Sun Jun 14 22:08:08 2026	1781492888	229	126	355	112
Sun Jun 14 22:07:57 2026	1781492877	228	127	355	125
Sun Jun 14 22:08:08 2026	1781492888	220	136	355	128
Sun Jun 14 22:07:57 2026	1781492877	232	124	355	113
Sun Jun 14 22:08:07 2026	1781492887	225	131	356	119
Sun Jun 14 22:07:59 2026	1781492879	223	132	356	129
Sun Jun 14 22:08:05 2026	1781492885	208	148	356	148
Sun Jun 14 22:08:20 2026	1781492900	213	143	356	143
Sun Jun 14 22:08:12 2026	1781492892	222	134	356	129
Sun Jun 14 22:07:58 2026	1781492878	223	133	356	130
Sun Jun 14 22:08:14 2026	1781492894	211	145	356	143
Sun Jun 14 22:07:59 2026	1781492879	224	132	356	132
Sun Jun 14 22:08:18 2026	1781492898	215	141	356	135
Sun Jun 14 22:08:05 2026	1781492885	208	148	357	146
Sun Jun 14 22:08:01 2026	1781492881	212	145	357	136
Sun Jun 14 22:08:25 2026	1781492905	234	123	357	123
Sun Jun 14 22:08:03 2026	1781492883	234	123	358	123
Sun Jun 14 22:08:04 2026	1781492884	224	134	358	118
Sun Jun 14 22:08:14 2026	1781492894	224	134	358	114
Sun Jun 14 22:08:22 2026	1781492902	235	123	358	121
Sun Jun 14 22:08:01 2026	1781492881	218	140	358	128
Sun Jun 14 22:08:25 2026	1781492905	196	162	358	158
Sun Jun 14 22:08:21 2026	1781492901	236	122	358	117
Sun Jun 14 22:08:19 2026	1781492899	222	137	358	119
Sun Jun 14 22:08:11 2026	1781492891	230	129	359	122
Sun Jun 14 22:08:22 2026	1781492902	215	143	359	139
Sun Jun 14 22:08:03 2026	1781492883	222	137	359	128
Sun Jun 14 22:07:59 2026	1781492879	212	146	359	137
Sun Jun 14 22:08:05 2026	1781492885	209	150	359	149
Sun Jun 14 22:08:00 2026	1781492880	220	139	359	115
Sun Jun 14 22:07:57 2026	1781492877	234	125	359	125
Sun Jun 14 22:07:59 2026	1781492879	213	146	359	145
Sun Jun 14 22:08:11 2026	1781492891	232	127	360	120
Sun Jun 14 22:08:08 2026	1781492888	215	145	360	141
Sun Jun 14 22:08:10 2026	1781492890	221	139	360	116
Sun Jun 14 22:07:57 2026	1781492877	235	125	360	121
Sun Jun 14 22:08:20 2026	1781492900	218	142	360	142
Sun Jun 14 22:08:13 2026	1781492893	222	139	360	134
Sun Jun 14 22:08:24 2026	1781492904	214	147	361	132
Sun Jun 14 22:08:08 2026	1781492888	198	163	361	160
