starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 14 22:13:03 2026	1781493183	202	182	384	129
Sun Jun 14 22:13:09 2026	1781493189	240	159	399	150
Sun Jun 14 22:13:08 2026	1781493188	255	165	420	138
Sun Jun 14 22:13:08 2026	1781493188	255	173	428	167
Sun Jun 14 22:13:10 2026	1781493190	291	139	430	139
Sun Jun 14 22:13:09 2026	1781493189	246	197	443	188
Sun Jun 14 22:13:10 2026	1781493190	280	197	477	186
Sun Jun 14 22:13:10 2026	1781493190	353	136	488	132
Sun Jun 14 22:13:09 2026	1781493189	345	152	497	151
Sun Jun 14 22:13:09 2026	1781493189	255	245	500	161
Sun Jun 14 22:13:07 2026	1781493187	268	233	501	229
Sun Jun 14 22:13:09 2026	1781493189	305	199	503	167
Sun Jun 14 22:13:07 2026	1781493187	330	179	510	170
Sun Jun 14 22:13:10 2026	1781493190	371	139	510	133
Sun Jun 14 22:13:09 2026	1781493189	307	210	517	202
Sun Jun 14 22:13:09 2026	1781493189	353	170	523	170
Sun Jun 14 22:13:09 2026	1781493189	324	204	528	183
Sun Jun 14 22:13:09 2026	1781493189	243	285	528	276
Sun Jun 14 22:13:09 2026	1781493189	313	217	530	208
Sun Jun 14 22:13:10 2026	1781493190	374	156	530	153
Sun Jun 14 22:13:08 2026	1781493188	357	185	542	169
Sun Jun 14 22:13:08 2026	1781493188	400	144	544	144
Sun Jun 14 22:13:10 2026	1781493190	363	184	547	183
Sun Jun 14 22:13:07 2026	1781493187	380	171	552	168
Sun Jun 14 22:13:07 2026	1781493187	341	219	560	201
Sun Jun 14 22:13:09 2026	1781493189	369	193	562	177
Sun Jun 14 22:13:07 2026	1781493187	403	176	579	167
Sun Jun 14 22:13:07 2026	1781493187	259	350	608	350
Sun Jun 14 22:13:07 2026	1781493187	427	186	613	171
Sun Jun 14 22:13:08 2026	1781493188	429	186	615	171
Sun Jun 14 22:13:09 2026	1781493189	306	310	616	177
Sun Jun 14 22:13:07 2026	1781493187	404	227	631	226
Sun Jun 14 22:13:10 2026	1781493190	421	212	632	203
Sun Jun 14 22:13:08 2026	1781493188	350	290	639	153
Sun Jun 14 22:13:10 2026	1781493190	408	254	662	242
Sun Jun 14 22:13:08 2026	1781493188	419	252	671	234
Sun Jun 14 22:13:07 2026	1781493187	444	242	686	225
Sun Jun 14 22:13:06 2026	1781493186	528	159	687	151
Sun Jun 14 22:13:07 2026	1781493187	504	184	688	159
Sun Jun 14 22:13:09 2026	1781493189	346	360	707	174
Sun Jun 14 22:13:10 2026	1781493190	473	239	712	205
Sun Jun 14 22:13:10 2026	1781493190	398	319	718	310
Sun Jun 14 22:13:07 2026	1781493187	530	204	734	198
Sun Jun 14 22:13:07 2026	1781493187	476	276	752	275
Sun Jun 14 22:13:08 2026	1781493188	457	300	757	182
Sun Jun 14 22:13:10 2026	1781493190	448	322	769	321
Sun Jun 14 22:13:07 2026	1781493187	398	378	777	336
Sun Jun 14 22:13:04 2026	1781493184	354	425	779	207
Sun Jun 14 22:13:06 2026	1781493186	451	340	791	319
Sun Jun 14 22:13:10 2026	1781493190	447	347	794	337
Sun Jun 14 22:13:10 2026	1781493190	457	347	804	347
Sun Jun 14 22:13:07 2026	1781493187	535	277	812	275
Sun Jun 14 22:13:07 2026	1781493187	635	211	846	187
Sun Jun 14 22:13:06 2026	1781493186	366	509	875	496
Sun Jun 14 22:13:04 2026	1781493184	384	512	896	469
Sun Jun 14 22:13:04 2026	1781493184	387	510	897	508
Sun Jun 14 22:13:06 2026	1781493186	587	326	913	256
Sun Jun 14 22:13:04 2026	1781493184	345	577	923	208
Sun Jun 14 22:13:07 2026	1781493187	700	229	928	205
Sun Jun 14 22:13:09 2026	1781493189	308	622	931	622
Sun Jun 14 22:13:06 2026	1781493186	471	462	933	426
Sun Jun 14 22:13:09 2026	1781493189	379	573	952	570
Sun Jun 14 22:13:06 2026	1781493186	631	330	960	259
Sun Jun 14 22:13:04 2026	1781493184	471	490	961	490
Sun Jun 14 22:13:04 2026	1781493184	359	611	969	211
Sun Jun 14 22:13:04 2026	1781493184	741	236	977	235
Sun Jun 14 22:13:10 2026	1781493190	447	536	983	144
Sun Jun 14 22:13:04 2026	1781493184	358	629	986	250
Sun Jun 14 22:13:04 2026	1781493184	359	627	986	253
Sun Jun 14 22:13:04 2026	1781493184	384	611	995	418
Sun Jun 14 22:13:04 2026	1781493184	347	648	995	500
Sun Jun 14 22:13:04 2026	1781493184	385	611	996	509
Sun Jun 14 22:13:04 2026	1781493184	710	288	998	273
Sun Jun 14 22:13:08 2026	1781493188	413	586	999	411
Sun Jun 14 22:13:04 2026	1781493184	709	291	1001	271
Sun Jun 14 22:13:10 2026	1781493190	493	514	1007	164
Sun Jun 14 22:13:04 2026	1781493184	1009	0	1009	0
Sun Jun 14 22:13:04 2026	1781493184	385	626	1011	484
Sun Jun 14 22:13:09 2026	1781493189	567	454	1022	316
Sun Jun 14 22:13:04 2026	1781493184	712	324	1035	319
Sun Jun 14 22:13:04 2026	1781493184	653	383	1036	381
Sun Jun 14 22:13:04 2026	1781493184	746	307	1053	304
Sun Jun 14 22:13:09 2026	1781493189	415	638	1053	577
Sun Jun 14 22:13:04 2026	1781493184	712	346	1058	342
Sun Jun 14 22:13:06 2026	1781493186	504	581	1085	447
Sun Jun 14 22:13:06 2026	1781493186	277	814	1091	502
Sun Jun 14 22:13:04 2026	1781493184	665	428	1093	417
Sun Jun 14 22:13:04 2026	1781493184	711	388	1099	388
Sun Jun 14 22:13:04 2026	1781493184	678	420	1099	388
Sun Jun 14 22:13:10 2026	1781493190	320	796	1117	306
Sun Jun 14 22:13:04 2026	1781493184	663	459	1122	423
Sun Jun 14 22:13:04 2026	1781493184	715	430	1145	430
Sun Jun 14 22:13:08 2026	1781493188	438	715	1153	673
Sun Jun 14 22:13:04 2026	1781493184	730	458	1188	415
Sun Jun 14 22:13:04 2026	1781493184	713	476	1189	436
Sun Jun 14 22:13:04 2026	1781493184	700	490	1190	446
Sun Jun 14 22:13:04 2026	1781493184	729	471	1200	416
Sun Jun 14 22:13:04 2026	1781493184	731	471	1201	470
Sun Jun 14 22:13:04 2026	1781493184	690	512	1202	493
Sun Jun 14 22:13:06 2026	1781493186	313	889	1202	588
Sun Jun 14 22:13:04 2026	1781493184	714	500	1214	357
Sun Jun 14 22:13:04 2026	1781493184	763	457	1220	454
Sun Jun 14 22:13:04 2026	1781493184	776	446	1222	446
Sun Jun 14 22:13:07 2026	1781493187	920	310	1230	234
Sun Jun 14 22:13:08 2026	1781493188	371	873	1244	653
Sun Jun 14 22:13:04 2026	1781493184	770	488	1258	449
Sun Jun 14 22:13:04 2026	1781493184	775	486	1261	466
Sun Jun 14 22:13:04 2026	1781493184	767	510	1276	475
Sun Jun 14 22:13:04 2026	1781493184	770	523	1293	516
Sun Jun 14 22:13:08 2026	1781493188	362	932	1294	581
Sun Jun 14 22:13:04 2026	1781493184	775	529	1304	525
Sun Jun 14 22:13:04 2026	1781493184	774	530	1304	530
Sun Jun 14 22:13:08 2026	1781493188	391	914	1305	305
Sun Jun 14 22:13:04 2026	1781493184	386	930	1317	480
Sun Jun 14 22:13:04 2026	1781493184	787	546	1333	546
Sun Jun 14 22:13:05 2026	1781493185	794	559	1354	529
Sun Jun 14 22:13:05 2026	1781493185	869	486	1355	362
Sun Jun 14 22:13:04 2026	1781493184	467	911	1378	439
Sun Jun 14 22:13:08 2026	1781493188	1020	363	1383	176
