starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 14 22:10:48 2026	1781493048	202	170	372	170
Sun Jun 14 22:10:50 2026	1781493050	225	147	372	134
Sun Jun 14 22:11:00 2026	1781493060	241	140	382	140
Sun Jun 14 22:11:01 2026	1781493061	238	174	412	130
Sun Jun 14 22:10:48 2026	1781493048	237	189	427	189
Sun Jun 14 22:11:00 2026	1781493060	267	160	427	143
Sun Jun 14 22:10:48 2026	1781493048	237	194	431	153
Sun Jun 14 22:11:00 2026	1781493060	271	167	438	167
Sun Jun 14 22:10:58 2026	1781493058	230	215	445	169
Sun Jun 14 22:11:00 2026	1781493060	241	206	447	195
Sun Jun 14 22:10:38 2026	1781493038	285	165	449	140
Sun Jun 14 22:11:00 2026	1781493060	242	211	453	192
Sun Jun 14 22:10:58 2026	1781493058	237	218	454	210
Sun Jun 14 22:11:00 2026	1781493060	279	176	455	161
Sun Jun 14 22:10:59 2026	1781493059	276	181	457	179
Sun Jun 14 22:10:48 2026	1781493048	274	184	458	183
Sun Jun 14 22:10:58 2026	1781493058	250	208	458	205
Sun Jun 14 22:10:50 2026	1781493050	315	146	461	146
Sun Jun 14 22:10:52 2026	1781493052	276	187	462	162
Sun Jun 14 22:10:49 2026	1781493049	264	201	464	200
Sun Jun 14 22:10:48 2026	1781493048	301	172	473	160
Sun Jun 14 22:11:00 2026	1781493060	266	213	478	213
Sun Jun 14 22:10:58 2026	1781493058	313	168	481	160
Sun Jun 14 22:10:46 2026	1781493046	278	203	481	203
Sun Jun 14 22:10:43 2026	1781493043	294	191	484	174
Sun Jun 14 22:10:40 2026	1781493040	242	244	486	232
Sun Jun 14 22:10:48 2026	1781493048	252	236	488	199
Sun Jun 14 22:10:50 2026	1781493050	287	201	488	184
Sun Jun 14 22:11:00 2026	1781493060	280	211	491	188
Sun Jun 14 22:10:39 2026	1781493039	294	198	492	198
Sun Jun 14 22:10:50 2026	1781493050	254	243	497	207
Sun Jun 14 22:10:51 2026	1781493051	289	209	498	193
Sun Jun 14 22:10:42 2026	1781493042	300	199	499	190
Sun Jun 14 22:10:48 2026	1781493048	256	246	502	179
Sun Jun 14 22:10:52 2026	1781493052	307	196	502	168
Sun Jun 14 22:10:53 2026	1781493053	244	260	503	259
Sun Jun 14 22:10:50 2026	1781493050	298	206	504	177
Sun Jun 14 22:10:39 2026	1781493039	292	213	506	210
Sun Jun 14 22:10:48 2026	1781493048	308	199	507	174
Sun Jun 14 22:10:40 2026	1781493040	252	257	509	254
Sun Jun 14 22:10:57 2026	1781493057	334	179	513	139
Sun Jun 14 22:10:42 2026	1781493042	342	173	514	172
Sun Jun 14 22:11:01 2026	1781493061	241	275	516	240
Sun Jun 14 22:10:40 2026	1781493040	263	255	518	249
Sun Jun 14 22:10:47 2026	1781493047	310	210	521	209
Sun Jun 14 22:10:51 2026	1781493051	317	205	522	187
Sun Jun 14 22:10:38 2026	1781493038	264	258	523	249
Sun Jun 14 22:10:41 2026	1781493041	341	184	525	184
Sun Jun 14 22:10:38 2026	1781493038	269	257	527	248
Sun Jun 14 22:10:58 2026	1781493058	310	218	528	201
Sun Jun 14 22:11:00 2026	1781493060	278	251	529	224
Sun Jun 14 22:10:41 2026	1781493041	283	247	529	184
Sun Jun 14 22:10:50 2026	1781493050	325	204	529	204
Sun Jun 14 22:10:40 2026	1781493040	270	260	530	227
Sun Jun 14 22:10:48 2026	1781493048	232	300	532	284
Sun Jun 14 22:10:47 2026	1781493047	268	266	534	262
Sun Jun 14 22:11:01 2026	1781493061	255	280	535	262
Sun Jun 14 22:11:01 2026	1781493061	233	303	535	256
Sun Jun 14 22:10:47 2026	1781493047	268	268	536	264
Sun Jun 14 22:10:52 2026	1781493052	288	249	537	218
Sun Jun 14 22:10:50 2026	1781493050	375	164	539	164
Sun Jun 14 22:10:57 2026	1781493057	310	230	540	222
Sun Jun 14 22:10:57 2026	1781493057	259	283	542	272
Sun Jun 14 22:10:51 2026	1781493051	333	210	543	210
Sun Jun 14 22:10:50 2026	1781493050	229	314	543	314
Sun Jun 14 22:10:42 2026	1781493042	306	237	543	235
Sun Jun 14 22:10:49 2026	1781493049	294	251	546	207
Sun Jun 14 22:10:50 2026	1781493050	262	286	548	237
Sun Jun 14 22:10:50 2026	1781493050	320	229	548	229
Sun Jun 14 22:10:40 2026	1781493040	353	196	549	178
Sun Jun 14 22:10:41 2026	1781493041	309	240	549	238
Sun Jun 14 22:10:48 2026	1781493048	321	230	550	212
Sun Jun 14 22:10:57 2026	1781493057	334	217	551	217
Sun Jun 14 22:10:48 2026	1781493048	268	286	554	272
Sun Jun 14 22:10:43 2026	1781493043	256	299	555	279
Sun Jun 14 22:10:48 2026	1781493048	388	169	556	156
Sun Jun 14 22:10:43 2026	1781493043	262	296	558	286
Sun Jun 14 22:10:58 2026	1781493058	332	227	559	227
Sun Jun 14 22:10:46 2026	1781493046	361	198	559	163
Sun Jun 14 22:10:41 2026	1781493041	350	210	560	202
Sun Jun 14 22:10:41 2026	1781493041	351	209	560	202
Sun Jun 14 22:10:57 2026	1781493057	336	226	562	216
